,country,keyword,topic,subtopic,user,date,text,favorite_count,followers_count,url
75,Unknow,environment,Manufacturing/Construction,Construction,prafullaketkar,Wed Feb 17 08:16:50 +0000 2021,Open violation of the laws by another evangelical Pentecostal organisation named ‘Assemblies of God’ -for construct… https://t.co/SM8Q4jH8Rz,25,37839,https://t.co/SM8Q4jH8Rz
76,Pakistan,environment,Industrial Processes,Industrial,RajaBasharatLAW,Fri Feb 12 11:10:48 +0000 2021,"Urban forestation is essential for 21st century human survival. While industrial development has its own benefits,… https://t.co/Qt9VzTQnti",24,6328,https://t.co/Qt9VzTQnti
77,India,environment,Electricity/Heat,Coal,IpsitaRisa,Wed Feb 17 13:01:34 +0000 2021,@StanChart @Clamco Standard Chartered Pledges to be green and environment friendly but I tell you people this bank… https://t.co/MgtFIyqI25,24,62,https://t.co/MgtFIyqI25
78,India,CO2,Transportation,Car,WIONews,Thu Feb 18 05:21:23 +0000 2021,.@Ford said its car lineup in Europe will be all-electric by 2030 as the US automaker races to get ahead of CO2 emi… https://t.co/cd3RZoxRPU,24,308599,https://t.co/cd3RZoxRPU
79,India,CO2,Other Fuel Combustion,Fuel,WIONews,Thu Feb 18 05:21:23 +0000 2021,.@Ford said its car lineup in Europe will be all-electric by 2030 as the US automaker races to get ahead of CO2 emi… https://t.co/cd3RZoxRPU,24,308609,https://t.co/cd3RZoxRPU
80,India,climate,Manufacturing/Construction,Construction,XpressBengaluru,Sun Feb 14 15:36:14 +0000 2021,"Climate Activist Disha Ravi named key conspirator by Delhi police, remanded to 5 days police custody. CM BSY will v… https://t.co/3DVedU09Zb",24,17191,https://t.co/3DVedU09Zb
81,Unknow,climate,Electricity/Heat,Gas,MBazilian,Sat Feb 13 16:53:46 +0000 2021,"Early view of research that will undoubtedly go viral - likely more popular than @elonmusk  and #Bitcoin. 

""Climat… https://t.co/JRqdOQ61JL",24,8072,https://t.co/JRqdOQ61JL
82,Unknow,climate,Industrial Processes,Industrial,MBazilian,Sat Feb 13 16:53:46 +0000 2021,"Early view of research that will undoubtedly go viral - likely more popular than @elonmusk  and #Bitcoin. 

""Climat… https://t.co/JRqdOQ61JL",24,8072,https://t.co/JRqdOQ61JL
83,Pakistan,climate,Land-Use Change and Forestry,Forest,syedalizia1992,Sat Feb 13 04:33:52 +0000 2021,Many Pakistanis laugh at him for focusing on this. https://t.co/0jlhuarOWC,23,6344,no url
84,India,climate,Industrial Processes,Industrial,UpdatesChennai,Tue Feb 16 13:43:48 +0000 2021,@aravindanms @Udhayakumar_RB @SellurKRajuoffl @CMOTamilNadu @Guidance_TN @mani9726 @MCSampathOffl Trichy Will Be Ge… https://t.co/5OA0Xwf1EO,23,4599,https://t.co/5OA0Xwf1EO
85,India,climate,Waste,Waste,PrasadKarwa,Mon Feb 15 09:18:59 +0000 2021,"Climate Activist was helping farmers because these farmers want to burn farm waste and choke the environment.

THE… https://t.co/im25O1uQ8e",22,8677,https://t.co/im25O1uQ8e
86,India,climate,Land-Use Change and Forestry,Forestry,IFFDC_Ltd,Thu Feb 18 06:10:35 +0000 2021,"With support of IFFCO,IFFDC promoting Agroforestry to help bringing forest to farmers fields,income generation &amp; cl… https://t.co/PRHQkBo7Yf",22,2332,https://t.co/PRHQkBo7Yf
87,India,environment,Waste,Waste,PrasadKarwa,Mon Feb 15 09:18:59 +0000 2021,"Climate Activist was helping farmers because these farmers want to burn farm waste and choke the environment.

THE… https://t.co/im25O1uQ8e",22,8677,https://t.co/im25O1uQ8e
88,Unknow,climate,Waste,Waste,Writer_Rishabh,Tue Feb 16 16:03:00 +0000 2021,Great to see @ravishndtv covering the work of young and citizen-led #climatechange groups working on significant is… https://t.co/SXSLGu5W4u,21,248,https://t.co/SXSLGu5W4u
89,India,environment,Electricity/Heat,Gas,pcraindia,Wed Feb 17 10:07:23 +0000 2021,Biofuel produces less greenhouse gas emissions compared to other fossil fuels. Let’s refill our vehicles with biofu… https://t.co/jHsCRPiArx,21,94376,https://t.co/jHsCRPiArx
